sample	chrom	sv	counts
APGI1953_Tumor	16	DEL	3
APGI1953_Tumor	9	complex	10
APGI1953_Tumor	2	complex	18
APGI1953_Tumor	6	INV	2
APGI1953_Tumor	20	DUP	2
APGI1953_Tumor	12	DEL	8
APGI1953_Tumor	X	complex	9
APGI1953_Tumor	14	complex	4
APGI1953_Tumor	7	complex	14
APGI1953_Tumor	21	DEL	2
APGI1953_Tumor	8	DEL	4
APGI1953_Tumor	1	DEL	14
APGI1953_Tumor	1	complex	33
APGI1953_Tumor	18	DUP	1
APGI1953_Tumor	22	complex	5
APGI1953_Tumor	13	complex	2
APGI1953_Tumor	1	INV	2
APGI1953_Tumor	12	complex	19
APGI1953_Tumor	18	DEL	3
APGI1953_Tumor	3	DUP	3
APGI1953_Tumor	5	DEL	6
APGI1953_Tumor	19	INV	2
APGI1953_Tumor	21	DUP	1
APGI1953_Tumor	2	DUP	1
APGI1953_Tumor	16	complex	7
APGI1953_Tumor	9	DUP	3
APGI1953_Tumor	17	DUP	3
APGI1953_Tumor	X	DEL	5
APGI1953_Tumor	15	DEL	3
APGI1953_Tumor	6	DUP	2
APGI1953_Tumor	4	complex	15
APGI1953_Tumor	12	DUP	4
APGI1953_Tumor	7	DEL	7
APGI1953_Tumor	4	DEL	8
APGI1953_Tumor	19	DUP	2
APGI1953_Tumor	5	DUP	1
APGI1953_Tumor	8	DUP	2
APGI1953_Tumor	11	DUP	23
APGI1953_Tumor	16	DUP	3
APGI1953_Tumor	Y	complex	6
APGI1953_Tumor	21	complex	6
APGI1953_Tumor	17	DEL	4
APGI1953_Tumor	19	complex	44
APGI1953_Tumor	10	complex	13
APGI1953_Tumor	3	complex	8
APGI1953_Tumor	11	INV	3
APGI1953_Tumor	5	complex	3
APGI1953_Tumor	20	DEL	8
APGI1953_Tumor	7	DUP	2
APGI1953_Tumor	19	DEL	3
APGI1953_Tumor	3	DEL	7
APGI1953_Tumor	4	DUP	1
APGI1953_Tumor	3	INV	1
APGI1953_Tumor	17	complex	9
APGI1953_Tumor	6	complex	17
APGI1953_Tumor	10	DUP	2
APGI1953_Tumor	18	complex	6
APGI1953_Tumor	15	complex	3
APGI1953_Tumor	20	complex	9
APGI1953_Tumor	11	DEL	19
APGI1953_Tumor	11	complex	52
APGI1953_Tumor	8	complex	16
APGI1953_Tumor	6	DEL	9
APGI1953_Tumor	Y	DUP	1
APGI1953_Tumor	10	INV	1
APGI1953_Tumor	2	INV	1
APGI1953_Tumor	7	INV	1
APGI1953_Tumor	2	DEL	9
APGI1953_Tumor	X	DUP	1
APGI1953_Tumor	10	DEL	7
APGI1953_Tumor	9	DEL	6
